PsNo, DateTime, Cond, Order,FSQ,Condition,Block,Measure,Scenario,Scariness
92,30/11/2016 13:42,CVA,132,5.166666667,A,3,1,2,7
128,09/12/2016 12:32,CVA,132,4.388888889,A,3,1,2,5
21,29/11/2016 10:33,CVA,213,4.388888889,A,3,1,3,10
57,30/11/2016 10:29,CVA,213,1.111111111,A,3,1,3,2
93,30/11/2016 13:45,CVA,213,1.277777778,A,3,1,3,5
129,09/12/2016 13:44,CVA,213,4.388888889,A,3,1,3,6
22,29/11/2016 10:17,CVA,231,3.444444444,A,3,1,1,6
58,30/11/2016 10:34,CVA,231,1.5,A,3,1,1,1
94,30/11/2016 13:35,CVA,231,1.944444444,A,3,1,1,3
130,09/12/2016 11:35,CVA,231,2.222222222,A,3,1,1,4
59,30/11/2016 10:46,CVA,312,2,A,3,1,2,2
95,30/11/2016 14:51,CVA,312,5.722222222,A,3,1,2,6
131,09/12/2016 11:29,CVA,312,3.555555556,A,3,1,2,7
24,29/11/2016 11:56,CVA,321,1.833333333,A,3,1,1,5
60,30/11/2016 10:31,CVA,321,5.333333333,A,3,1,1,8
96,30/11/2016 13:53,CVA,321,3.5,A,3,1,1,10
132,09/12/2016 12:31,CVA,321,5.666666667,A,3,1,1,9
25,29/11/2016 10:52,VAC,123,6.388888889,A,2,1,2,9
61,30/11/2016 10:39,VAC,123,2.611111111,A,2,1,2,2
97,30/11/2016 14:57,VAC,123,5.277777778,A,2,1,2,5
133,09/12/2016 12:08,VAC,123,5.888888889,A,2,1,2,10
26,29/11/2016 10:35,VAC,132,1.555555556,A,2,1,3,6
62,30/11/2016 10:35,VAC,132,4.833333333,A,2,1,3,10
98,30/11/2016 14:18,VAC,132,2.722222222,A,2,1,3,3
134,09/12/2016 13:35,VAC,132,4.222222222,A,2,1,3,1
27,29/11/2016 12:20,VAC,213,2.388888889,A,2,1,1,4
63,30/11/2016 10:45,VAC,213,3.111111111,A,2,1,1,7
99,30/11/2016 14:40,VAC,213,4,A,2,1,1,7
135,09/12/2016 13:29,VAC,213,4.055555556,A,2,1,1,2
28,29/11/2016 12:31,VAC,231,1.611111111,A,2,1,3,3
100,30/11/2016 14:31,VAC,231,4.777777778,A,2,1,3,9
136,09/12/2016 14:35,VAC,231,4.166666667,A,2,1,3,8
29,29/11/2016 12:16,VAC,312,1.111111111,A,2,1,1,1
65,30/11/2016 11:17,VAC,312,1.055555556,A,2,1,1,0
101,30/11/2016 14:37,VAC,312,3.764705882,A,2,1,1,6
137,09/12/2016 12:35,VAC,312,1.333333333,A,2,1,1,2
30,29/11/2016 12:24,VAC,321,1.055555556,A,2,1,2,2
66,30/11/2016 11:28,VAC,321,1.833333333,A,2,1,2,1
102,30/11/2016 14:30,VAC,321,5.055555556,A,2,1,2,4
138,09/12/2016 12:40,VAC,321,1.777777778,A,2,1,2,6
31,29/11/2016 14:29,VCA,123,1.444444444,A,3,1,3,1
